Character,Strokes,Composition,Character1,Strokes1,Verification1,Character2,Strokes2,Verification2,Cangjie,Radical
亵,12.0,回,衣,6.0,,执,6.0,,YQIV,亠
亶,13.0,吕,㐭,8.0,,旦,5.0,,YWRM,亠
亷,13.0,吕,产,6.0,,兼*,7.0,?,YHXC,亠
亸,16.0,吅,享,8.0,,单,8.0,,YDCWJ,亠
亹,21.0,吕,亠,2.0,,舋,19.0,,YHBM,亠
人,2.0,一,人,2.0,,*,0.0,,O,*
亻,2.0,一,人,2.0,,*,0.0,,HL,人
亼,3.0,吕,人,2.0,,一,1.0,,OM,人
亽,3.0,吕,人,2.0,,丶,1.0,,OI,人
亾,3.0,吅,𠃊,1.0,?,人,2.0,,OV,人
亿,3.0,吅,亻,2.0,,乙,1.0,,ON,人
什,4.0,吅,亻,2.0,,十,2.0,,OJ,人
仁,4.0,吅,亻,2.0,,二,2.0,,OMM,人
仂,4.0,吅,亻,2.0,,力,2.0,,OKS,人
仃,4.0,吅,亻,2.0,,丁,2.0,,OMN,人
仄,4.0,吕,厂,2.0,,人,2.0,,MO,人
仅,4.0,吅,亻,2.0,,又,2.0,,OE,人
仆,4.0,吅,亻,2.0,,卜,2.0,,OY,人
仇,4.0,吅,亻,2.0,,九,2.0,,OKN,人
仈,4.0,吅,亻,2.0,,八,2.0,,OC,人
仉,4.0,吅,亻,2.0,,几,2.0,,OHN,人
今,4.0,吕,亼,3.0,,㇇,1.0,,OIN,人
介,4.0,吕,人,2.0,,儿*,2.0,?,OLL,人
仌,4.0,吕,人,2.0,,*,2.0,,OO,人
仍,4.0,吅,亻,2.0,,乃,2.0,,ONHS,人
从,4.0,吅,人,2.0,,*,2.0,,OO,人
仏,4.0,吅,亻,2.0,,厶,2.0,,OI,人
仐,4.0,吕,人,2.0,,十,2.0,,OJ,人
仑,4.0,吕,人,2.0,,匕,2.0,,OP,人
仒,4.0,吕,人,2.0,,冫,2.0,,OY,人
仓,4.0,吕,人,2.0,,㔾,2.0,,OSU,人
仔,5.0,吅,亻,2.0,,子,3.0,,OND,人
仕,5.0,吅,亻,2.0,,士,3.0,,OG,人
