,Pinyin,Definition,Stroke count,Frequency rank,HSK
解,jiě,"loosen, unfasten, untie; explain",13,201,HSK3
口,kǒu,"mouth; open end; entrance, gate",3,212,HSK3
平,píng,"flat, level, even; peaceful",5,215,HSK3
更,gèng,"more, still further, much more",7,221,HSK3
变,biàn,"change, transform, alter; rebel",8,225,HSK3
总,zǒng,"collect; overall, altogether",9,228,HSK3
数,shù,"number; several, count; fate",13,231,HSK3
安,ān,"peaceful, tranquil, quiet",6,232,HSK3
才,cái,"talent, ability; just, only",3,235,HSK3
结,jié,"knot, tie; join, connect",9,236,HSK3
目,mù,"eye; look, see; division, topic",5,239,HSK3
感,gǎn,"feel, perceive, emotion",13,243,HSK3
接,jiē,receive; continue; catch; connect,11,247,HSK3
必,bì,"surely, most certainly; must",5,248,HSK3
市,shì,"market, fair; city, town; trade",5,254,HSK3
直,zhí,"straight, erect, vertical",8,255,HSK3
山,shān,"mountain, hill, peak",3,259,HSK3
空,kōng,"empty, hollow, bare, deserted",8,272,HSK3
决,jué,"decide, determine, judge",6,273,HSK3
马,mǎ,horse; surname; KangXi radical 187,3,276,HSK3
界,jiè,"boundary, limit; domain; society; the world",9,288,HSK3
放,fàng,"put, release, free, liberate",8,291,HSK3
像,xiàng,"a picture, image, figure; to resemble",13,294,HSK3
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",5,296,HSK3
难,nán,"difficult, arduous, hard; unable",10,295,HSK3
记,jì,"record; keep in mind, remember",5,306,HSK3
南,nán,south; southern part; southward,9,307,HSK3
求,qiú,"seek; demand, request; beseech",7,312,HSK3
据,jù,"to occupy, take possession of; a base, position",11,313,HSK3
张,zhāng,"stretch, extend, expand; sheet",7,318,HSK3
该,gāi,"should, ought to, need to",8,319,HSK3
万,wàn,ten thousand; innumerable,3,322,HSK3
清,qīng,"clear, pure, clean; peaceful",11,335,HSK3
带,dài,"belt, girdle, band, strap, zone",9,342,HSK3
风,fēng,"wind; air; manners, atmosphere",4,348,HSK3
根,gēn,"root, base(d on); foundation",10,352,HSK3
干,gàn,"oppose, offend; invade; dried",3,353,HSK3
极,jí,"extreme, utmost, furthest, final",7,363,HSK3
办,bàn,"manage, do, handle; deal with",4,367,HSK3
议,yì,"consult, talk over, discuss",5,368,HSK3
元,yuán,first; dollar; origin; head,4,370,HSK3
单,dān,"single, individual, only; lone",8,389,HSK3
调,diào,"transfer, move, change; tune",10,400,HSK3
算,suàn,"count, calculate, figure; plan",14,403,HSK3
需,xū,"need, require, must",14,408,HSK3
花,huā,flower; blossoms,7,410,HSK3
城,chéng,"castle; city, town; municipality",9,413,HSK3
级,jí,"level, rank, class; grade",6,415,HSK3
复,fù,return; repeat; repeatedly,9,426,HSK3
满,mǎn,"fill; full, satisfied",13,436,HSK3
越,yuè,"exceed, go beyond; the more ...",12,440,HSK3
容,róng,"looks, appearance; figure, form",10,442,HSK3
照,zhào,"shine, illumine, reflect",13,443,HSK3
须,xū,"must, have to, necessary",9,444,HSK3
包,bāo,"wrap, pack, bundle; package",5,454,HSK3
片,piàn,"slice, splinter, strip; rad. 91",4,455,HSK3
史,shǐ,"history, chronicle, annals",5,456,HSK3
乎,hū,interrogative or exclamatory final particle,5,458,HSK3
查,chá,"investigate, examine, seek into",9,459,HSK3
轻,qīng,"light; easy, simple; gentle",9,460,HSK3
易,yì,change; easy,8,461,HSK3
除,chú,"eliminate, remove, except",9,464,HSK3
阿,ā,,7,471,HSK3
李,lǐ,plum; judge; surname,7,472,HSK3
图,tú,"diagram; chart, map, picture",8,476,HSK3
历,lì,history; calendar,4,480,HSK3
突,tū,"suddenly, abruptly, unexpectedly",9,484,HSK3
周,zhōu,Zhou dynasty; circumference,8,490,HSK3
较,jiào,"compare; comparatively, more",10,491,HSK3
注,zhù,"concentrate, focus, direct",8,492,HSK3
选,xuǎn,"choose, select; elect; election",9,499,HSK3
响,xiǎng,"make sound, make noise; sound",9,503,HSK3
参,cān,"take part in, intervene; ginseng",8,507,HSK3
半,bàn,half,5,513,HSK3
节,jié,"knot, node, joint; section",5,514,HSK3
护,hù,"protect, guard, defend, shelter",7,529,HSK3
音,yīn,"sound, tone, pitch, pronunciation",9,540,HSK3
跟,gēn,"heel; to follow, accompany; with",13,541,HSK3
留,liú,"stop, halt; stay, detain, keep",10,554,HSK3
讲,jiǎng,explain; discuss; talk,6,555,HSK3
料,liào,"consider, conjecture; materials, ingredients",10,557,HSK3
终,zhōng,"end; finally, in the end",8,558,HSK3
答,dá,"answer, reply; return; assent to",12,559,HSK3
黄,huáng,yellow; surname,11,561,HSK3
奇,qí,"strange, unusual, uncanny, occult",8,563,HSK3
段,duàn,"section, piece, division",9,567,HSK3
故,gù,"ancient, old; reason, because",9,572,HSK3
河,hé,river; stream; yellow river,8,574,HSK3
害,hài,"injure, harm; destroy, kill",10,579,HSK3
双,shuāng,"set of two, pair, couple; both",4,581,HSK3
境,jìng,"boundary, frontier; area, region",14,582,HSK3
愿,yuàn,"sincere, honest, virtuous",14,598,HSK3
网,wǎng,net; network; KangXi radical 122,6,605,HSK3
育,yù,"produce, give birth to; educate",8,609,HSK3
船,chuán,"ship, boat, vessel",11,614,HSK3
脸,liǎn,face; cheek; reputation,11,615,HSK3
刻,kè,"carve, engrave; quarter hour",8,618,HSK3
刚,gāng,"hard, tough, rigid, strong",6,621,HSK3
般,bān,"sort, manner, kind, category",10,629,HSK3
怕,pà,"to fear, be afraid of; apprehensive",8,631,HSK3
假,jiǎ,"falsehood, deception; vacation",11,636,HSK3
久,jiǔ,"long time (ago); time passage, grow late",3,637,HSK3
拿,ná,"take, hold, grasp; bring; with",10,645,HSK3
阳,yáng,,6,650,HSK3
急,jí,"quick, quickly; urgent, pressing",9,657,HSK3
居,jū,"live, dwell, reside, sit",8,678,HSK3
环,huán,jade ring or bracelet; ring,8,681,HSK3
树,shù,"tree; plant; set up, establish",9,697,HSK3
层,céng,"storey, layer, floor, stratum",7,699,HSK3
句,jù,sentence,5,707,HSK3
简,jiǎn,"simple, terse, succinct, a letter",13,716,HSK3
卡,kǎ,"card, punch card; calorie",5,717,HSK3
担,dān,"carry, bear, undertake",8,720,HSK3
静,jìng,"quiet, still, motionless; gentle",14,722,HSK3
检,jiǎn,check; examine,11,731,HSK3
差,chà,"to differ; different, wrong; nearly, almost; an officer",9,732,HSK3
角,jiǎo,"horn; angle, corner; point",7,736,HSK3
皮,pí,"skin, hide, fur, feather; outer",5,741,HSK3
啊,a,exclamatory particle,10,753,HSK3
超,chāo,"jump over, leap over; surpass",12,754,HSK3
银,yín,"silver; cash, money, wealth",11,757,HSK3
怪,guài,"strange, unusual, peculiar",8,775,HSK3
香,xiāng,"fragrant, sweet smelling, incense",9,776,HSK3
铁,tiě,"iron; strong, solid, firm",10,779,HSK3
草,cǎo,"grass, straw, thatch, herbs",9,789,HSK3
脚,jiǎo,"leg, foot; base, leg, foundation",11,790,HSK3
酒,jiǔ,"wine, spirits, liquor, alcoholic beverage",10,797,HSK3
顾,gù,look back; look at; look after,10,815,HSK3
换,huàn,change,10,824,HSK3
闻,wén,hear; smell; make known; news,9,825,HSK3
坏,huài,"rotten, spoilt, bad, broken down",7,832,HSK3
楚,chǔ,name of feudal state; clear,13,859,HSK3
楼,lóu,building of two or more stories,13,876,HSK3
画,huà,"a painting, picture, drawing; to draw",8,883,HSK3
耳,ěr,"ear; merely, only; handle",6,887,HSK3
短,duǎn,"short; brief; deficient, lacking",12,889,HSK3
遇,yù,"meet, come across, encounter",12,899,HSK3
康,kāng,"peaceful, quiet; happy, healthy",11,900,HSK3
旧,jiù,"old, ancient; former, past",5,915,HSK3
春,chūn,spring; wanton,9,921,HSK3
附,fù,"adhere to, append; rely on near to",7,923,HSK3
礼,lǐ,social custom; manners; courtesy,5,926,HSK3
板,bǎn,"plank, board; iron or tin plate",8,930,HSK3
婚,hūn,"get married; marriage, wedding",11,942,HSK3
鲜,xiān,fresh; delicious; attractive,14,958,HSK3
词,cí,"words; phrase, expression",7,959,HSK3
择,zé,"select, choose, pick out",8,961,HSK3
健,jiàn,"strong, robust, healthy; strength",10,979,HSK3
借,jiè,borrow; lend; make pretext of,10,984,HSK3
园,yuán,"garden; park, orchard",7,988,HSK3
牙,yá,"tooth, molars, teeth; serrated",4,997,HSK3
束,shù,"bind, control, restrain; bale",7,998,HSK3
练,liàn,"to practice, drill, exercise, train",8,1005,HSK3
爷,yé,"father, grandfather",6,1007,HSK3
嘴,zuǐ,"mouth, lips",16,1010,HSK3
戏,xì,"theatrical play, show",6,1033,HSK3
典,diǎn,"law, canon; documentation; classic, scripture",8,1044,HSK3
盘,pán,"tray, plate, dish; examine",11,1049,HSK3
忘,wàng,"forget; neglect; miss, omit",7,1056,HSK3
赛,sài,"compete, contend; contest, race",14,1064,HSK3
趣,qù,,15,1065,HSK3
迎,yíng,"receive, welcome, greet",7,1069,HSK3
冰,bīng,ice; ice-cold,6,1070,HSK3
努,nǔ,"to exert, strive, make an effort; to pout",7,1081,HSK3
绿,lǜ,green; chlorine,11,1088,HSK3
街,jiē,"street, road, thoroughfare",12,1101,HSK3
灯,dēng,"lantern, lamp",6,1115,HSK3
夏,xià,"summer; great, grand, big",10,1126,HSK3
秋,qiū,"autumn, fall; year",9,1151,HSK3
末,mò,"final, last, end; insignificant",5,1164,HSK3
蓝,lán,blue; indigo plant; surname,13,1190,HSK3
烧,shāo,burn; bake; heat; roast,10,1201,HSK3
哭,kū,"weep, cry, wail",10,1210,HSK3
冒,mào,"risk, brave, dare",9,1222,HSK3
惯,guàn,"habit, custom; habitually, usual",11,1226,HSK3
鸟,niǎo,bird; KangXi radical 196,5,1263,HSK3
季,jì,quarter of year; season; surname,8,1279,HSK3
鼻,bí,nose; first; KangXi radical 209,14,1335,HSK3
腿,tuǐ,"legs, thighs",13,1351,HSK3
迟,chí,"late, tardy; slow; delay",7,1374,HSK3
辆,liàng,numerary adjunct for vehicles,11,1375,HSK3
净,jìng,"clean, pure; cleanse",8,1377,HSK3
冬,dōng,"winter, 11th lunar month",5,1384,HSK3
骑,qí,ride horseback; mount; cavalry,11,1398,HSK3
叔,shū,,8,1422,HSK3
爬,pá,"crawl, creep; climb; scramble",8,1426,HSK3
扫,sǎo,"sweep, clear away; exterminate",6,1435,HSK3
箱,xiāng,"case, box, chest, trunk",15,1453,HSK3
