,Pinyin,Definition,Stroke count,Frequency rank
今,jīn,"now, today, modern era",4,336
院,yuàn,"courtyard, yard, court; school",9,338
识,shí,"recognize, understand, know",7,340
候,hòu,wait; expect; visit; greet,10,341
飞,fēi,fly; go quickly; dart; high,3,347
车,chē,"cart, vehicle; carry in cart",4,361
服,fú,"clothes; wear, dress",8,365
怎,zěn,what? why? how?,9,382
呢,ne,interrogative or emphatic final; (Cant.) this,8,383
叫,jiào,"cry, shout; hail, greet, call",5,387
影,yǐng,"shadow; image, reflection; photograph",15,390
字,zì,"letter, character, word",6,393
爱,ài,"love, be fond of, like",10,394
商,shāng,"commerce, business, trade",11,402
请,qǐng,"ask, request; invite; please",10,421
视,shì,"look at, inspect, observe, see",8,438
九,jiǔ,nine,2,445
写,xiě,"write; draw, sketch; compose",5,448
八,bā,"eight; all around, all sides",2,451
吗,ma,final interrogative particle,6,453
吃,chī,"eat; drink; suffer, endure, bear",6,475
六,liù,number six,4,478
医,yī,"cure, heal; doctor, medical",7,482
号,hào,"mark, sign; symbol; number",5,487
语,yǔ,"language, words; saying, expression",9,493
七,qī,seven,2,530
兴,xìng,"thrive, prosper, flourish",6,531
星,xīng,"a star, planet; any point of light",9,537
京,jīng,capital city,8,566
米,mǐ,hulled or husked uncooked rice,6,575
客,kè,"guest, traveller; customer",9,583
友,yǒu,"friend, companion; fraternity",4,594
钱,qián,"money, currency, coins",10,603
热,rè,hot; heat; fever; restless; zeal,10,606
坐,zuò,"sit; seat; ride, travel by",7,611
校,xiào,school; military field officer,10,633
脑,nǎo,brain,10,646
谁,shuí,who? whom? whose? anyone?,10,648
哪,nǎ,which? where? how?,9,652
喜,xǐ,"like, love, enjoy; joyful thing",12,668
习,xí,practice; flapping wings,3,676
欢,huān,"happy, pleased, glad; joy; enjoy",6,685
冷,lěng,"cold, cool; lonely",7,700
汉,hàn,Chinese people; Chinese language,5,711
衣,yī,"clothes, clothing; cover, skin",6,725
妈,mā,"mother, mama",6,750
读,dú,"read, study; pronounce",10,752
买,mǎi,"buy, purchase; bribe, persuade",6,758
岁,suì,year; age; harvest,6,772
块,kuài,"piece, lump; dollar",7,793
姐,jiě,"elder sister, young lady",8,830
