,Pinyin,Definition,Stroke count,Frequency rank,HSK
便,biàn,"convenience, ease; expedient",9,271,HSK2
司,sī,"take charge of, control, manage; officer",5,278,HSK2
眼,yǎn,"eye; eyelet, hole, opening",11,281,HSK2
非,fēi,"not, negative, non-; oppose",8,283,HSK2
白,bái,"white; pure, unblemished; bright",5,286,HSK2
思,sī,"think, consider, ponder; final particle",9,298,HSK2
完,wán,"complete, finish, settle; whole",7,301,HSK2
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",6,304,HSK2
路,lù,"road, path, street; journey",13,305,HSK2
告,gào,"tell, announce, inform; accuse",7,310,HSK2
边,biān,"edge, margin, side, border",5,316,HSK2
望,wàng,"to look at, look forward; to hope, expect",11,326,HSK2
共,gòng,"together with, all, total; to share",6,330,HSK2
让,ràng,"allow, permit, yield, concede",5,339,HSK2
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",7,345,HSK2
笑,xiào,"smile, laugh, giggle; snicker",10,346,HSK2
步,bù,"step, pace; walk, stroll",7,349,HSK2
每,měi,"every, each",7,359,HSK2
快,kuài,"rapid, quick, speedy, fast; soon",7,366,HSK2
往,wǎng,"go, depart; past, formerly",8,369,HSK2
近,jìn,"near, close; approach; intimate",7,374,HSK2
夫,fū,"man, male adult, husband; those",4,377,HSK2
准,zhǔn,"approve, allow, permit; in accord",10,379,HSK2
始,shǐ,"begin, start; then, only then",8,381,HSK2
远,yuǎn,"distant, remote, far; profound",7,386,HSK2
备,bèi,"prepare, ready, perfect",8,397,HSK2
百,bǎi,"one hundred; numerous, many",6,407,HSK2
离,lí,rare beast; strange; elegant,10,418,HSK2
病,bìng,"illness, sickness, disease",10,427,HSK2
息,xī,"rest, put stop to, end, cease",10,428,HSK2
火,huǒ,"fire, flame; burn; anger, rage",4,433,HSK2
早,zǎo,early; soon; morning,6,462,HSK2
找,zhǎo,"search, seek, look for; find",7,466,HSK2
吧,ba,emphatic final particle,7,470,HSK2
考,kǎo,"examine, test; investigate",6,495,HSK2
红,hóng,"red, vermillion; blush, flush",6,502,HSK2
虽,suī,"although, even if",9,504,HSK2
希,xī,"rare; hope, expect, strive for",7,508,HSK2
房,fáng,"house, building; room",8,512,HSK2
黑,hēi,"black; dark; evil, sinister",12,519,HSK2
足,zú,"foot; attain, satisfy, enough",7,527,HSK2
孩,hái,"baby, child; children",9,533,HSK2
站,zhàn,"stand up; a stand, station",10,544,HSK2
诉,sù,accuse; sue; inform; narrate,7,595,HSK2
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",3,599,HSK2
男,nán,"male, man; son; baron; surname",7,602,HSK2
助,zhù,"help, aid, assist",7,607,HSK2
乐,lè,"happy, glad; enjoyable; music",5,619,HSK2
球,qiú,"ball, sphere, globe; round",11,628,HSK2
错,cuò,"error, blunder, mistake; wrong",13,638,HSK2
晚,wǎn,"night, evening; late",11,641,HSK2
试,shì,"test, try, experiment",8,643,HSK2
送,sòng,"see off, send off; dispatch, give",9,656,HSK2
药,yào,leaf of Dahurian angelica plant; medicine,9,662,HSK2
游,yóu,"to swim; float, drift; wander, roam",12,695,HSK2
室,shì,"room, home, house, chamber",9,708,HSK2
您,nín,,11,726,HSK2
帮,bāng,"help, assist; defend; shoe upper",9,769,HSK2
左,zuǒ,"left; east; unorthodox, improper",5,782,HSK2
右,yòu,right; west; right-wing,5,783,HSK2
穿,chuān,"penetrate, pierce, drill; wear",9,785,HSK2
哥,gē,elder brother,10,804,HSK2
弟,dì,"young brother; junior; i, me",7,816,HSK2
慢,màn,"slow(ly), leisurely, sluggish",14,822,HSK2
忙,máng,"busy, pressed for time; hustling",6,827,HSK2
介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",4,831,HSK2
鱼,yú,fish; surname; KangXi radical 195,8,852,HSK2
跑,pǎo,"run, flee, leave in hurry",12,864,HSK2
贵,guì,"expensive, costly, valuable",9,873,HSK2
班,bān,"class, group, grade; squad; job",10,884,HSK2
票,piào,slip of paper or bamboo; ticket,11,910,HSK2
睛,jīng,eyeball; pupil of eye,13,934,HSK2
旅,lǚ,"trip, journey; travel; traveler",10,950,HSK2
笔,bǐ,writing brush; write; stroke,10,956,HSK2
卖,mài,sell; betray; show off,8,974,HSK2
旁,páng,"side; by side, close by, near",10,981,HSK2
阴,yīn,,6,987,HSK2
跳,tiào,"jump, leap, vault, bounce; dance",13,999,HSK2
