字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
闷,门心,4,mèn mēn,悶,,0.0054,1673,1946,0.004500165,1830,2103
乳,孚乚,1,rǔ,乳,,0.0073,1473,1753,0.004496547,1831,2104
娃,女圭,1,wá,娃,,0.0051,1705,1985,0.004476393,1833,2105
薛,艸𠂤辛,1,xuē xiē,薛,,0.0016,2585,2769,0.003943071,1953,2106
夷,大弓,1,yí,夷,,0.0018,2503,2111,0.002396849,2333,2107
缴,糸敫,5,jiǎo zhuó hé jiào,繳,,0.0026,2218,2495,0.004474843,1834,2108
唤,口奂,5,huàn,喚,,0.0046,1779,2064,0.004473809,1835,2109
赢,嬴贝,5,yíng,贏,,0.002,2411,2685,0.004473809,1835,2109
莲,艸连,5,lián liǎn,蓮,,0.0058,1621,1895,0.004470191,1837,2111
桃,木兆,3,táo,桃,,0.0056,1646,1920,0.004464507,1838,2112
霸,雨革月,1,bà pò,霸,,0.0032,2034,2317,0.004464507,1839,2112
瘦,疒叟,3,shòu,瘦,,0.0051,1705,1985,0.004460889,1841,2114
搭,手荅,5,dā tà,搭,,0.0052,1697,1974,0.004457789,1842,2115
赴,走卜,3,fù,赴,,0.0032,2034,2317,0.004441251,1843,2116
岳,丘山,1,yuè,岳,,0.0026,2218,2495,0.004432466,1844,2117
嘉,壴加,5,jiā,嘉,,0.0033,2014,2300,0.004431949,1845,2118
舱,舟仓,5,cāng,艙,,0.0032,2034,2317,0.004431432,1846,2119
辱,辰寸,2,rǔ rù,辱,,0.0028,2150,2350,0.004149268,1907,2120
俊,人夋,3,jùn,俊,,0.0024,2282,2555,0.004414895,1847,2121
址,土止,5,zhǐ,址,,0.0024,2282,2555,0.004413862,1848,2122
庞,广龙,1,páng,龐,,0.0032,2034,2317,0.004408694,1849,2123
耕,耒井,3,gēng,耕,,0.0071,1484,1763,0.004405593,1850,2124
锐,金兑,4,ruì duì yuè,銳,,0.005,1720,2001,0.004404043,1851,2125
缝,糸逢,5,féng fèng,縫,,0.0059,1611,1886,0.004398875,1852,2126
葛,艸曷,3,gé gě,葛,,0.0029,2125,2317,0.004109475,1919,2127
悔,心每,3,huǐ,悔,,0.0031,2069,2350,0.004384922,1853,2128
邀,辵敫,3,yāo,邀,,0.0035,1968,2247,0.004384405,1854,2129
玲,玉令,4,líng,玲,,0.0037,1931,2213,0.004379754,1855,2130
惟,心隹,5,wéi,惟,,0.0022,2344,2614,0.004376653,1856,2131
添,水忝,4,tiān tiàn,添,,0.0044,1812,2098,0.004372002,1859,2132
挖,手穵,5,wā,挖,,0.0055,1658,1932,0.004366318,1860,2133
呵,口可,3,hē a kē,呵,,0.0087,1339,1628,0.004358049,1861,2134
讼,言公,3,sòng róng,訟,,0.0023,2314,2584,0.004346163,1862,2135
氧,气羊,4,yǎng,氧,,0.0217,810,1050,0.004341512,1863,2136
浩,水告,3,hào gǎo gé,浩,,0.0038,1908,2189,0.004334277,1864,2137
酷,酉告,1,kù,酷,,0.0034,1987,2268,0.004312572,1867,2138
掠,手京,1,lüè lě lè,掠,,0.0033,2014,2300,0.004311538,1868,2139
妖,女夭,5,yāo,妖,,0.0014,2693,2962,0.004308438,1869,2140
祸,示呙,3,huò,禍,,0.0027,2189,2470,0.004307921,1870,2141
侍,人寺,3,shì,侍,,0.0019,2458,2731,0.004299652,1871,2142
妨,女方,4,fáng fāng,妨,,0.0034,1987,2268,0.004295001,1873,2143
贪,今贝,1,tān,貪,,0.0032,2034,2317,0.004291384,1874,2144
挣,手争,4,zhēng zhèng,掙,,0.0036,1948,2228,0.004287766,1875,2145
汪,水王,4,wāng hóng wǎng,汪,,0.0047,1763,2047,0.004286216,1876,2146
尿,尸水,1,niào suī,尿,,0.0041,1859,2144,0.004285182,1877,2147
莉,艸利,5,lì chí lí,莉,,0.0026,2218,2495,0.004283632,1878,2148
悬,县心,3,xuán,懸,,0.0048,1743,2028,0.004280014,1879,2149
翰,倝羽,3,hàn,翰,,0.0008,3081,3344,0.004278464,1880,2150
唇,辰口,2,chún,唇,,0.004,1872,2155,0.004278464,1881,2151
轨,车九,1,guǐ,軌,,0.0061,1575,1856,0.004275363,1883,2152
枚,木攴,2,méi,枚,,0.0024,2282,2555,0.004273813,1884,2153
盐,土卜皿,1,yán yàn,鹽,,0.0142,1028,1306,0.004271746,1885,2154
傅,人尃,4,fù fū,傅,,0.0062,1566,1847,0.004266578,1887,2155
帅,〢巾,1,shuài shuò,帥,,0.0021,2376,2648,0.004262961,1888,2156
庙,广由,1,miào,廟,,0.0045,1797,2079,0.004247974,1889,2157
芬,艸分,5,fēn fén,芬,,0.003,2096,2380,0.00424694,1890,2158
豸,豸,2,zhì,豸,,0,3938,1974,0,4017,2159
屏,尸并,3,píng bǐng bìng,屏,,0.0052,1697,1974,0.004241772,1891,2160
胖,肉半,3,pàng pán pàn,胖,,0.0047,1763,2047,0.004229369,1893,2161
璃,玉离,5,lí li,璃,,0.0076,1442,1723,0.004225235,1894,2162
婴,贝女,1,yīng,嬰,,0.0033,2014,2124,0.003159624,2112,2163
愚,禺心,5,yú,愚,,0.0025,2250,2522,0.004208698,1895,2164
啇,帝口,1,dí chì,啇,,0,3938,1908,0,4017,2165
滴,水啇,4,dī,滴,,0.0071,1484,1763,0.004188027,1896,2166
姿,次女,3,zī,姿,,0.0062,1566,1847,0.004181825,1899,2167
颤,亶页,3,chàn shān zhàn,顫,,0.0038,1908,2189,0.004175624,1900,2168
劣,少力,5,liè,劣,,0.0042,1840,2126,0.004168906,1901,2169
浦,水甫,3,pǔ,浦,,0.0019,2458,2466,0.002979783,2156,2170
柯,木可,4,kē,柯,,0.0022,2344,2614,0.004165805,1903,2171
潘,水番,3,pān bō fān pán pàn,潘,,0.003,2096,2264,0.003347217,2068,2172
扔,手乃,1,rēng rèng,扔,,0.0034,1987,2268,0.004157536,1905,2173
盯,目丁,5,dīng chéng,盯,,0.0029,2125,2410,0.004155469,1906,2174
俱,人具,5,jù,俱,,0.0028,2150,2433,0.004146684,1909,2175
辨,辡刀,5,biàn bān bàn biǎn piàn,辨,,0.0053,1681,1956,0.004146167,1910,2176
饿,食我,3,è,餓,,0.0048,1743,2028,0.004130147,1911,2177
蜂,虫夆,4,fēng,蜂,,0.0057,1632,1908,0.004128596,1912,2178
哦,口我,3,ó ò é,哦,,0.0031,2069,2350,0.004123945,1913,2179
皃,白儿,1,mào,皃,,0,3938,1930,0,4017,2180
腔,肉空,1,qiāng kòng,腔,,0.0079,1417,1703,0.004121362,1914,2181
扇,户羽,1,shàn shān,扇,,0.0043,1827,2063,0.003682094,1993,2182
郁,有阝,2,yù,郁,,0.0043,1827,2114,0.004117744,1915,2183
溃,水贵,3,kuì huì xiè,潰,,0.0024,2282,2555,0.004114643,1916,2184
糟,米曹,3,zāo,糟,,0.0032,2034,2317,0.00411361,1917,2185
谨,言堇,5,jǐn,謹,,0.0023,2314,2584,0.00411361,1918,2186
肠,肉𠃓,3,cháng,腸,,0.0063,1556,1838,0.004102757,1921,2187
忌,己心,4,jì,忌,,0.0027,2189,2470,0.00410224,1922,2188
溜,水留,4,liū liù liú,溜,,0.0055,1658,1932,0.00410069,1923,2189
鸿,江鸟,1,hóng hòng,鴻,,0.0034,1987,2268,0.004098623,1924,2190
鹏,朋鸟,5,péng fèng,鵬,,0.0017,2541,2809,0.004080019,1926,2191
鹰,䧹鸟,1,yīng,鷹,,0.0032,2034,2317,0.004077435,1927,2192
笼,竹龙,5,lóng lǒng,籠,,0.0044,1812,2098,0.004076401,1928,2193
桂,木圭,4,guì,桂,,0.0076,1442,1723,0.004070716,1930,2194
𣦼,又歹,1,cán,𣦼,,0,3938,2465,0,4017,2195
滋,水兹,5,zī cí,滋,,0.0038,1908,2189,0.004069166,1931,2196
聊,耳卯,3,liáo liú,聊,,0.0022,2344,2614,0.004064515,1932,2197
挡,手当,4,dǎng dàng tǎng,擋,,0.0032,2034,2317,0.00405728,1933,2198
纲,糸冈,5,gāng,綱,,0.0061,1575,1856,0.004047461,1934,2199
彗,彗,2,huì suì,彗,,0.0004,3536,2407,0.000478543,3502,2200
肌,肉几,4,jī jì,肌,,0.0065,1542,1819,0.004046428,1935,2201
茨,艸次,4,cí,茨,,0.0013,2743,3010,0.00404281,1936,2202
壳,士冖几,1,ké qiào,殼,,0.007,1497,1771,0.004037642,1937,2203
痕,疒艮,3,hén gèn,痕,,0.0033,2014,2300,0.004033508,1938,2204
黍,禾水,1,shǔ,黍,,0.0003,3656,2213,8.73367E-05,3942,2205
碗,石宛,5,wǎn,碗,,0.0061,1575,1856,0.004016971,1939,2206
膀,肉旁,3,bǎng páng bàng pāng pǎng,膀,,0.0055,1658,1932,0.003995266,1941,2207
贤,臤贝,3,xián,賢,,0.0032,2034,2317,0.003985964,1943,2208
膜,肉莫,4,mó mò,膜,,0.0081,1402,1688,0.003976145,1945,2209
耤,耒昔,3,jí jiè,耤,,0,3938,2315,0,4017,2210
毅,辛豕殳,1,yì,毅,,0.0057,1632,1908,0.00397201,1946,2211
锦,金帛,4,jǐn,錦,,0.0041,1859,2144,0.003969943,1947,2212
孝,耂子,3,xiào,孝,,0.0028,2150,2212,0.003158591,2113,2213
哩,口里,4,li lǐ lī,哩,,0.008,1407,1694,0.00396736,1949,2214
卵,卵,1,luǎn,卵,,0.0082,1388,1611,0.003602509,2008,2215
茫,水芒,5,máng huǎng,茫,,0.0038,1908,2189,0.003958057,1951,2216
昂,日卬,5,áng,昂,,0.0036,1948,2228,0.003946688,1952,2217
皱,刍皮,1,zhòu zhōu,皺,,0.0037,1931,2213,0.003932218,1954,2218
豫,予象,4,yù xù,豫,,0.0031,2069,2350,0.003922399,1956,2219
臭,自犬,1,chòu xiù,臭,,0.0035,1968,2126,0.003186497,2104,2220
屰,屰,1,nì jǐ,屰,,0,3938,1999,0,4017,2221
𭕆,小贝,1,suǒ,𧴪,,0,3938,2380,0,4017,2222
遂,辵㒸,4,suì suí,遂,,0.0031,2069,2298,0.003567884,2017,2223
剥,录刀,1,bāo bō,剝,,0.0111,1185,1462,0.003877956,1959,2224
傲,人敖,4,ào,傲,,0.0026,2218,2495,0.003877439,1960,2225
拾,手合,1,shí shè jiè,拾,,0.0042,1840,2126,0.003874338,1961,2226
敖,出放,1,áo ào,敖,,0.0002,3788,2377,0.000488362,3487,2227
窝,穴呙,4,wō,窩,,0.0055,1658,1932,0.00385315,1962,2228
睁,目争,5,zhēng,睜,,0.0039,1885,2168,0.003852116,1963,2229
携,手隹乃,1,xié xī xí,攜,,0.0024,2282,2555,0.003849532,1964,2230
陵,阝夌,5,líng,陵,,0.0036,1948,2228,0.003842814,1965,2231
翁,公羽,3,wēng wěng,翁,,0.0023,2314,2380,0.00317151,2109,2232
哼,口亨,5,hēng hng,哼,,0.0039,1885,2168,0.003834029,1966,2233
棉,木帛,1,mián,棉,,0.0099,1251,1529,0.003832479,1967,2234
晴,日青,4,qíng,晴,,0.0031,2069,2350,0.003826794,1968,2235
铃,金令,4,líng,鈴,,0.0042,1840,2126,0.003826277,1969,2236
填,土真,1,tián zhèn,填,,0.0051,1705,1985,0.003824727,1970,2237
饲,食司,4,sì,飼,,0.0057,1632,1908,0.003823693,1971,2238
吻,口勿,2,wěn,吻,,0.0023,2314,2584,0.003821626,1972,2239
渴,水曷,3,kě hé jié kài,渴,,0.0033,2014,2300,0.003821626,1973,2240
颠,真页,1,diān tián,顛,,0.0027,2189,2377,0.003059885,2130,2241
肙,口肉,1,yuān,肙,,0,3938,2431,1.0336E-06,4004,2242
扮,手分,1,bàn,扮,,0.0037,1931,2213,0.00380974,1974,2243
逆,辵屰,5,nì,逆,,0.0045,1797,2079,0.003792686,1975,2244
脆,肉危,3,cuì,脆,,0.0038,1908,2189,0.003791136,1976,2245
喘,口耑,3,chuǎn,喘,,0.0039,1885,2168,0.003782867,1977,2246
罩,网卓,2,zhào,罩,,0.0026,2218,2495,0.003777183,1978,2247
炉,火户,3,lú,爐,,0.0069,1507,1781,0.003769948,1980,2248
柴,此木,2,chái zhài zì,柴,,0.0057,1632,1908,0.003760129,1981,2249
愉,心俞,5,yú tōu,愉,,0.0034,1987,2268,0.003751343,1982,2250
绳,糸黾,3,shéng mǐn shèng yìng,繩,,0.0046,1779,2064,0.003749793,1984,2251
胎,肉台,4,tāi,胎,,0.0042,1840,2126,0.003749793,1983,2251
蓄,艸畜,3,xù,蓄,,0.0042,1840,2126,0.003727571,1985,2253
眠,目民,2,mián miǎn mǐn,眠,,0.0042,1840,2126,0.003718269,1986,2254
竭,立曷,1,jié,竭,,0.0034,1987,2268,0.003717752,1987,2255
喂,口畏,5,wèi,喂,,0.0047,1763,2047,0.003712584,1988,2256
傻,人囟夊,1,shǎ,傻,,0.0026,2218,2495,0.003703799,1989,2257
慕,莫心,2,mù,慕,,0.0029,2125,2410,0.003702765,1990,2258
叉,又,1,chā chá chǎ cha chà chāi,叉,,0.0033,2014,2154,0.002738444,2227,2259
浑,水军,3,hún gǔn hùn,渾,,0.0045,1797,2079,0.003687779,1991,2260
奸,女干,3,jiān,奸,,0.003,2096,2380,0.003685712,1992,2261
柜,木巨,1,guì,櫃,,0.0039,1885,2168,0.003669691,1994,2262
悦,心兑,1,yuè,悅,,0.0038,1908,2189,0.003666074,1995,2263
拦,手兰,5,lán,攔,,0.0027,2189,2470,0.003664523,1996,2264
诞,言延,3,dàn,誕,,0.0038,1908,2189,0.003661423,1997,2265
饱,食包,4,bǎo,飽,,0.0065,1542,1819,0.003647986,1998,2266
乾,倝乙,3,qián gān,乾,,0.0019,2458,2731,0.003646953,1999,2267
泡,水包,3,pào pāo páo,泡,,0.0074,1464,1745,0.003641268,2000,2268
贼,则戈,2,zéi zé,賊,,0.0024,2282,2555,0.003640751,2001,2269
叀,叀,1,zhuān huì,叀,,0,3938,2494,0,4017,2270
爹,父多,2,diē,爹,,0.006,1597,1872,0.003625765,2004,2271
酬,酉州,3,chóu,酬,,0.0031,2069,2350,0.003623181,2005,2272
儒,人需,1,rú,儒,,0.003,2096,2380,0.003619563,2006,2273
姻,女因,5,yīn,姻,,0.0053,1681,1956,0.003616462,2007,2274
囊,束襄,3,náng nāng,囊,,0.0033,2014,2264,0.003467112,2039,2275
氛,气分,5,fēn,氛,,0.0034,1987,2268,0.003600959,2009,2276
泄,水世,1,xiè yì,泄,,0.0033,2014,2300,0.003594241,2010,2277
杆,木干,5,gǎn,桿,,0.0059,1611,1886,0.003588556,2011,2278
挨,手矣,1,āi ái,挨,,0.0043,1827,2114,0.003581321,2012,2279
僧,人曾,3,sēng,僧,,0.003,2096,2380,0.003576153,2013,2280
蜜,宓虫,5,mì,蜜,,0.0044,1812,2098,0.003575636,2014,2281
吟,口今,3,yín,吟,,0.0025,2250,2522,0.003574086,2015,2282
猩,犬星,5,xīng,猩,,0.0018,2503,2772,0.003570469,2016,2283
狭,犬夹,3,xiá,狹,,0.0048,1743,2028,0.003566334,2018,2284
甜,舌甘,3,tián,甜,,0.0053,1681,1956,0.003562717,2020,2285
霞,雨叚,3,xiá,霞,,0.003,2096,2380,0.003558066,2021,2286
驳,马爻,1,bó,駁,,0.0024,2282,2555,0.003554965,2022,2287
裕,衣谷,1,yù,裕,,0.0034,1987,2268,0.003550831,2023,2288
顽,元页,3,wán kūn,頑,,0.0039,1885,2168,0.00354928,2024,2289
摘,手啇,1,zhāi zhé,摘,,0.0034,1987,2268,0.003537394,2025,2290
崩,山朋,3,bēng,崩,,0.0018,2503,2470,0.00292397,2174,2291
厨,厂豆寸,1,chú,廚,,0.0023,2314,2492,0.003065569,2129,2292
矮,矢委,1,ǎi,矮,,0.0033,2014,2300,0.00353171,2026,2293
秒,禾少,3,miǎo,秒,,0.0053,1681,1956,0.003529126,2027,2294
卿,卯皀,1,qīng,卿,,0.0019,2458,2731,0.003527058,2028,2295
咽,口因,2,yān yàn yè,咽,,0.0032,2034,2317,0.003523441,2030,2296
披,手皮,4,pī,披,,0.0036,1948,2228,0.003508971,2031,2297
亶,㐭旦,5,dǎn dàn,亶,,0,3938,2433,0,4017,2298
辅,车甫,4,fǔ,輔,,0.004,1872,2155,0.003504837,2032,2299
盆,分皿,3,pén,盆,,0.0068,1515,1789,0.003503803,2034,2300
疆,土弓畺,5,jiāng qiáng jiàng,疆,,0.0039,1885,2168,0.003503287,2035,2301
赌,贝者,3,dǔ,賭,,0.0024,2282,2555,0.003492951,2036,2302
塑,朔土,2,sù,塑,,0.0081,1402,1688,0.003485199,2037,2303
吵,口少,3,chǎo chāo,吵,,0.0042,1840,2126,0.003467112,2039,2304
嗯,口恩,4,ǹg ńg ňg ǹ ń ň éng ěng èng,嗯,,0.0019,2458,2731,0.003466078,2041,2305
泊,水白,2,bó pō pó pò,泊,,0.0026,2218,2495,0.003459876,2042,2306
肺,肉巿,2,fèi pèi,肺,,0.0053,1681,1956,0.003458326,2043,2307
骤,马聚,1,zhòu zòu,驟,,0.0038,1908,2189,0.003456259,2044,2308
缠,糸广里,1,chán,纏,,0.0029,2125,2410,0.003449541,2045,2309
羞,羊丑,3,xiū,羞,,0.0028,2150,2433,0.003437138,2046,2310
衮,衣公,2,gǔn,袞,,0.0001,3870,2228,0.000110075,3922,2311
瞪,目登,4,dèng,瞪,,0.0035,1968,2247,0.00343352,2048,2312
吊,口巾,1,diào,吊,,0.0036,1948,2228,0.003429903,2049,2313
苹,艸平,5,píng pēng pín,苹,,0.0027,2189,2155,0.001966367,2474,2314
漏,水尸雨,1,lòu lóu,漏,,0.0034,1987,2268,0.003424735,2050,2315
贾,覀贝,3,jiǎ gǔ jià,賈,,0.0032,2034,2317,0.003424735,2051,2315
斑,玨文,1,bān,斑,,0.0038,1908,2189,0.003422151,2052,2317
涛,水寿,1,tāo cháo dào shòu táo,濤,,0.0032,2034,2317,0.003416466,2053,2318
悠,攸心,5,yōu,悠,,0.0044,1812,2098,0.003412849,2054,2319
俘,人孚,5,fú,俘,,0.0019,2458,2731,0.003407681,2056,2320
锡,金易,3,xī tì xí,錫,,0.0038,1908,2189,0.003403547,2057,2321
葬,艸死,1,zàng,葬,,0.0038,1908,2189,0.003389077,2059,2322
铭,金名,5,míng,銘,,0.0013,2743,3010,0.003387527,2060,2323
滩,水难,3,tān hàn nàn,灘,,0.0044,1812,2098,0.003384943,2061,2324
嫁,女家,4,jià,嫁,,0.0044,1812,2098,0.003379258,2062,2325
催,人崔,5,cuī,催,,0.0043,1827,2114,0.003378741,2063,2326
翅,支羽,3,chì,翅,,0.0039,1885,2168,0.003371506,2064,2327
盒,合皿,5,hé ān,盒,,0.0038,1908,2189,0.003362204,2065,2328
蛮,変虫,3,mán,蠻,,0.0029,2125,2410,0.003360654,2066,2329
歧,止支,3,qí,歧,,0.0024,2282,2555,0.003333781,2069,2330
巫,工人,1,wū wú,巫,,0.0013,2743,2808,0.002881594,2185,2331
赐,贝易,3,cì sì,賜,,0.0016,2585,2853,0.003323445,2070,2332
巢,巢,3,cháo,巢,,0.0028,2150,2228,0.002518811,2294,2333
鲍,鱼包,4,bào bāo pāo,鮑,,0.0008,3081,3344,0.003315693,2071,2334
锅,金呙,5,guō guǒ,鍋,,0.0056,1646,1920,0.003315693,2072,2335
廊,广郎,5,láng,廊,,0.0022,2344,2614,0.003314143,2073,2336
拆,手斥,2,chāi cā chè,拆,,0.0032,2034,2317,0.003313626,2074,2337
灌,水雚,5,guàn huàn,灌,,0.0064,1550,1831,0.003308975,2075,2338
勉,力免,5,miǎn,勉,,0.0029,2125,2410,0.003306391,2076,2339
盲,亡目,3,máng wàng,盲,,0.005,1720,2001,0.003304841,2077,2340
宰,宀辛,1,zǎi,宰,,0.0021,2376,2648,0.003302257,2078,2341
佐,人左,5,zuǒ,佐,,0.0018,2503,2772,0.003296056,2079,2342
朔,屰月,1,shuò,朔,,0.0005,3397,1982,0.000850112,3090,2343
啥,口舍,2,shá shà,啥,,0.0063,1556,1838,0.003271767,2080,2344
胀,肉长,4,zhàng cháng,脹,,0.0042,1840,2126,0.003269699,2081,2345
扯,手止,1,chě,扯,,0.0037,1931,2213,0.003268666,2082,2346
禧,示喜,5,xǐ xī,禧,,0.0011,2860,3120,0.003259881,2083,2347
辽,辵了,3,liáo,遼,,0.0035,1968,2247,0.003255746,2084,2348
抹,手末,4,mǒ mò mā,抹,,0.0042,1840,2126,0.003255229,2085,2349
筒,竹同,4,tǒng dòng tóng,筒,,0.0051,1705,1985,0.003253679,2086,2350
棋,木其,5,qí jī,棋,,0.003,2096,2380,0.003252646,2087,2351
裤,衣库,5,kù,褲,,0.0038,1908,2189,0.003246444,2088,2352
唉,口矣,1,āi ài,唉,,0.0037,1931,2213,0.003239726,2089,2353
朴,木卜,3,pǔ pò pō piáo pú,朴,,0.0043,1827,2114,0.003235592,2090,2354
咐,口付,5,fù,咐,,0.002,2411,2685,0.003233525,2091,2355
孕,乃子,1,yùn,孕,,0.0028,2150,2433,0.003233008,2092,2356
誓,折言,1,shì,誓,,0.0017,2541,2809,0.00322939,2093,2357
喉,口侯,5,hóu,喉,,0.0028,2150,2433,0.003221122,2094,2358
妄,亡女,4,wàng,妄,,0.0025,2250,2522,0.003218538,2095,2359
拘,手句,4,jū gōu,拘,,0.0025,2250,2522,0.003216471,2096,2360
链,金连,4,liàn lián,鏈,,0.0031,2069,2350,0.003215954,2097,2361
驰,马也,1,chí,馳,,0.0029,2125,2410,0.003203551,2098,2362
栏,木兰,5,lán liàn,欄,,0.0029,2125,2410,0.003194766,2099,2363
逝,辵折,1,shì,逝,,0.0026,2218,2495,0.003194766,2099,2363
翟,羽隹,1,dí zhái,翟,,0.0003,3656,2268,0.00031989,3697,2365
窃,穴切,4,qiè,竊,,0.0026,2218,2495,0.003190631,2101,2366
艳,丰色,1,yàn,艷,,0.0032,2034,2317,0.003189598,2102,2367
枼,世木,1,yè,枼,,0,3938,2648,0,4017,2368
纤,糸千,4,qiàn,縴,,0.0048,1743,2028,0.003186497,2103,2369
棵,木果,1,kē kě kuǎn,棵,,0.0042,1840,2126,0.00318288,2105,2370
趁,走㐱,3,chèn chén zhēn,趁,,0.0027,2189,2470,0.003180296,2106,2371
匠,匚斤,2,jiàng,匠,,0.004,1872,2155,0.003174094,2108,2372
盈,乃又皿,1,yíng,盈,,0.004,1872,2155,0.003174094,2107,2372
愁,秋心,3,chóu,愁,,0.0036,1948,2228,0.003170477,2110,2374
瞬,目舜,5,shùn,瞬,,0.003,2096,2380,0.003162208,2111,2375
颈,𢀖页,4,jǐng gěng,頸,,0.0037,1931,2213,0.003154456,2114,2376
倘,人尚,3,tǎng cháng,倘,,0.0023,2314,2584,0.003137919,2115,2377
浙,水折,4,zhè,浙,,0.003,2096,2380,0.003123966,2116,2378
谅,言京,1,liàng liáng,諒,,0.0022,2344,2614,0.003113114,2117,2379
蔽,艸敝,5,bì fù,蔽,,0.0023,2314,2584,0.003108979,2118,2380
畅,申𠃓,3,chàng,暢,,0.0039,1885,2168,0.003106912,2119,2381
赠,贝曾,3,zèng,贈,,0.0016,2585,2853,0.003102778,2120,2382
妮,女尼,4,nī ní,妮,,0.0017,2541,2809,0.003100711,2121,2383
莎,艸沙,5,shā suō,莎,,0.0014,2693,2962,0.003095543,2122,2384
冻,仌东,5,dòng,凍,,0.0054,1673,1946,0.003092442,2124,2385
跪,足危,3,guì,跪,,0.0021,2376,2648,0.003077455,2125,2386
闯,门马,3,chuǎng chèn,闖,,0.003,2096,2380,0.003076939,2126,2387
葡,艸匍,5,pú bèi,葡,,0.0039,1885,2168,0.003071254,2127,2388
鸭,甲鸟,3,yā,鴨,,0.0039,1885,2168,0.003065569,2128,2389
遮,辵庶,1,zhē,遮,,0.0032,2034,2317,0.003056267,2131,2390
谊,言宜,4,yì yí,誼,,0.0029,2125,2410,0.003050066,2132,2391
圳,土川,2,zhèn,圳,,0.0007,3168,3430,0.003049549,2133,2392
吁,口于,4,xū yù,吁,,0.002,2411,2685,0.003044381,2134,2393
瘤,疒留,5,liú,瘤,,0.0022,2344,2614,0.003036113,2137,2394
嫂,女叟,2,sǎo,嫂,,0.006,1597,1872,0.003029911,2138,2395
陀,阝它,2,tuó,陀,,0.0015,2631,2900,0.003029911,2139,2396
框,木匡,4,kuàng kuāng,框,,0.0025,2250,2522,0.003024743,2140,2397
谭,言覃,5,tán,譚,,0.0019,2458,2731,0.003022676,2141,2398
钦,金欠,3,qīn qìn yín,欽,,0.0018,2503,2772,0.003018025,2143,2399
庸,庚用,3,yōng yóng,庸,,0.0026,2218,2495,0.003015441,2144,2400
歉,兼欠,3,qiàn,歉,,0.0021,2376,2648,0.003014408,2145,2401
芝,艸之,5,zhī,芝,,0.002,2411,2685,0.003013891,2146,2402
吼,口孔,1,hǒu,吼,,0.0019,2458,2731,0.003004589,2147,2403
衫,衣彡,1,shān,衫,,0.0028,2150,2433,0.002998387,2149,2404
宴,宀妟,5,yàn,宴,,0.0023,2314,2584,0.00299632,2150,2405
摊,手难,3,tān,攤,,0.0037,1931,2213,0.00299632,2151,2406
嘱,口属,3,zhǔ,囑,,0.0025,2250,2522,0.002991152,2152,2407
衷,衣中,5,zhōng zhòng,衷,,0.0023,2314,2584,0.002987535,2153,2408
娇,女乔,3,jiāo,嬌,,0.0022,2344,2614,0.002982884,2154,2409
陕,阝夹,1,xiá shǎn,陝,,0.0028,2150,2433,0.002981333,2155,2410
矩,矢巨,1,jǔ,矩,,0.003,2096,2380,0.002979783,2156,2411
炭,火岸,3,tàn,炭,,0.0038,1908,1628,0.002276439,2365,2412
讶,言牙,4,yà,訝,,0.0016,2585,2853,0.002976682,2158,2413
耸,从耳,3,sǒng,聳,,0.002,2411,2685,0.002975649,2159,2414
裸,衣果,3,luǒ,裸,,0.0026,2218,2495,0.002972548,2160,2415
碧,玉白石,2,bì,碧,,0.0027,2189,2470,0.002972031,2161,2416
詹,厃八言,1,zhān dàn shàn,詹,,0.0005,3397,2898,0.001857843,2529,2417
摧,手崔,5,cuī cuò,摧,,0.002,2411,2685,0.002967897,2162,2418
薪,艸新,5,xīn,薪,,0.0013,2743,3010,0.002966864,2163,2419
淋,水林,5,lín lìn,淋,,0.0036,1948,2228,0.002964796,2164,2420
耻,耳止,3,chǐ,恥,,0.0022,2344,2614,0.002963763,2165,2421
胶,肉交,5,jiāo jiǎo,膠,,0.0056,1646,1920,0.002956528,2166,2422
屠,尸者,3,tú,屠,,0.002,2411,2685,0.002954977,2167,2423
鹅,我鸟,3,é,鵝,,0.0028,2150,2433,0.002947226,2168,2424
盼,目分,1,pàn fén,盼,,0.003,2096,2380,0.002939991,2169,2425
饥,食几,5,jī,飢,,0.0032,2034,2317,0.002939991,2170,2426
脖,肉孛,2,bó,脖,,0.0035,1968,2247,0.002936373,2171,2427
虹,虫工,3,hóng gòng hòng jiàng,虹,,0.0018,2503,2772,0.002930172,2172,2428
翠,羽卒,1,cuì,翠,,0.0041,1859,2144,0.002925521,2173,2429
账,贝长,4,zhàng,賬,,0.0024,2282,2555,0.00292087,2175,2430
萍,水苹,5,píng,萍,,0.0026,2218,2495,0.002917769,2176,2431
窄,穴乍,2,zhǎi zé,窄,,0.0028,2150,2268,0.002697102,2240,2432
赚,贝兼,3,zhuàn zuàn,賺,,0.002,2411,2685,0.0029095,2178,2433
撑,手掌,1,chēng,撐,,0.0028,2150,2433,0.002908467,2179,2434
翔,羊羽,3,xiáng,翔,,0.0025,2250,2522,0.002906916,2180,2435
绵,糸帛,1,mián,綿,,0.0032,2034,2317,0.002905366,2181,2436
倡,人昌,4,chàng chāng,倡,,0.0043,1827,2114,0.002905366,2182,2437
