字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
写,冖与,1,xiě xiè,寫,,0.0497,442,645,0.048427935,448,654
照,昭火,4,zhào,照,,0.0485,454,668,0.049104923,443,655
须,彡页,2,xū,須,,0.0521,426,627,0.04904446,444,656
鱼,鱼,2,yú,魚,,0.0289,669,643,0.020904992,852,657
责,丰贝,1,zé zhài,責,,0.0272,695,812,0.039470498,535,658
增,土曾,3,zēng,增,,0.0616,367,560,0.048510104,446,659
研,石开,1,yán yàn xíng,研,,0.0724,314,496,0.048454291,447,660
称,禾尔,1,chēng chèn chèng,稱,,0.0487,451,665,0.048390726,449,661
畐,畐,1,fú bì,畐,,0,3938,646,0,4017,662
企,人止,2,qǐ,企,,0.0454,472,692,0.048295121,450,663
冈,冈,1,gāng,岡,,0.0017,2541,609,0.003437138,2047,664
显,日业,1,xiǎn,㬎,,0.0461,468,632,0.045386654,469,665
采,爪木,5,cǎi cài,采,,0.0435,486,565,0.035630268,585,666
功,工力,1,gōng,功,,0.0403,520,745,0.047571105,452,667
丙,丙,1,bǐng,丙,,0.0021,2376,599,0.001578779,2641,668
吗,口马,4,má mǎ ma,嗎,,0.0431,488,710,0.047357673,453,669
查,木旦,1,chá zhā,查,,0.0319,625,833,0.046530817,459,670
参,厶㐱,1,cān shēn cēn sān dēn,參,,0.0398,528,699,0.041685439,507,671
轻,车𢀖,3,qīng qìng,輕,,0.0428,493,715,0.046434178,460,672
妾,立女,1,qiè,妾,,0.0004,3536,688,0.000727633,3208,673
坐,人土,2,zuò,坐,,0.0318,627,719,0.034259237,611,674
昔,龷日,1,xī cuò xí,昔,,0.0015,2631,727,0.002232512,2384,675
除,阝余,1,chú shū zhù,除,,0.045,477,698,0.046134443,464,676
武,戈止,1,wǔ,武,,0.0273,694,875,0.042305582,501,677
急,心刍,1,jí,急,,0.032,622,691,0.031079975,657,678
章,辛日,1,zhāng zhàng,章,,0.0224,798,909,0.039326315,539,679
弗,弗,1,fú,弗,,0.0024,2282,844,0.010286608,1257,680
客,宀各,3,kè,客,,0.0396,534,659,0.035713987,583,681
找,手戈,1,zhǎo,找,,0.0399,527,752,0.045604738,466,682
装,壮衣,4,zhuāng,裝,,0.0379,552,772,0.045550992,467,683
右,𠂇口,2,yòu,右,,0.0257,730,764,0.023545247,783,684
永,永,1,yǒng,永,,0.0155,987,753,0.021155116,842,685
吧,口巴,5,bā ba,吧,,0.0447,480,701,0.045237304,470,686
𫇦,𫇦,1,yìng,𤇾,,0,3938,539,0,4017,687
六,六,1,liù lù,六,,0.0488,449,660,0.044355668,478,688
李,木子,1,lǐ,李,,0.0393,537,760,0.044749975,472,689
念,今心,2,niàn,念,,0.0386,543,765,0.044419233,477,690
历,厂力,5,lì,歷,,0.0544,410,597,0.044178411,480,691
叩,口卩,2,kòu,叩,,0.0008,3081,657,0.00111884,2889,692
标,木示,1,biāo,標,,0.0449,478,700,0.04461096,473,693
谈,言炎,3,tán,談,,0.0351,578,806,0.044489516,474,694
引,弓,4,yǐn,引,,0.0486,453,661,0.044309157,479,695
吃,口乞,3,chī jī,吃,,0.0526,418,616,0.044431119,475,696
图,囗冬,1,tú,圖,,0.0586,386,582,0.0444213,476,697
亦,亦,1,yì,亦,,0.0135,1054,732,0.019617164,886,698
免,免,1,miǎn,免,,0.0199,844,781,0.024828425,755,699
希,爻巾,1,xī,希,,0.021,825,955,0.041580532,508,700
考,耂丂,5,kǎo,考,,0.0383,548,762,0.042731929,495,701
氐,氏,1,dī dǐ zhī,氐,,0,3938,676,0.000201029,3865,702
双,又,2,shuāng,雙,,0.0312,635,791,0.03588556,581,703
兄,儿口,2,xiōng,兄,,0.0104,1225,717,0.013635893,1089,704
医,匚矢,1,yī,医,,0.0265,711,937,0.043730358,482,705
局,尺口,2,jú,局,,0.0367,565,786,0.043713304,483,706
突,穴犬,3,tū tú,突,,0.0361,569,792,0.043654907,484,707
𢛳,直心,1,dé,𢛳,,0,3938,963,0,4017,708
韦,韦,1,wéi huí,韋,,0.0024,2282,770,0.005623656,1667,709
费,弗贝,2,fèi bì,費,,0.0368,564,785,0.043595477,486,710
号,口丂,3,hào háo,号,,0.0327,612,838,0.043583074,487,711
尽,尺,1,jìn jǐn,盡,,0.0326,613,839,0.043549483,488,712
千,人,1,qiān,千,,0.0456,470,607,0.035060254,599,713
害,宀丰口,1,hài hé,害,,0.0313,631,768,0.035896929,579,714
